Deposition Number,Datablock,Status,Doi,CIF
2528884,data_howd_ap,Submitted,,
2528883,data_bipw11-cs,Submitted,,
2528882,data_ndwd_mono,Submitted,,
2528881,data_ceiv_w5_mc,Submitted,,
2528880,data_bagew11_ap,Submitted,,
2528879,SURPRISE!,Submitted,,
2528878,data_ceiii_w5_na,Submitted,,
2528877,SURPRISE!,Submitted,,
2525415,SURPRISE!,Submitted,,
2514979,SURPRISE!,Submitted,,
2514977,data_Cs8NaHoW5,Submitted,,
2514976,data_prbw11-cs,Submitted,,
2514975,data_Cs6Na3TbW5,Submitted,,
2514974,data_prsiw11-cs,Submitted,,
2514973,data_prwd-k_ap,Submitted,,
2514972,SURPRISE!,Submitted,,
2514971,data_cs4na5erw5,Submitted,,
2514970,data_Cs8NaDyW5,Submitted,,
2514969,data_gu-cmw5,Submitted,,
2514968,data_na2cs22w24o84,Submitted,,
2514967,data_na3cs6gdw5,Submitted,,
2514966,data_cs-w24-ano,Submitted,,
2514965,data_cs6na3prw5,Submitted,,
2514964,data_Cs8NaSmW5,Submitted,,
2514963,data_Cs8NaPrW5,Submitted,,
2513147,data_amp2w17_k_mp,Published,,
2513146,data_AmP2W17_K_aP,Published,,
2513145,data_NdP2W17-K_aP,Published,,
2513144,data_PrP2W17-K_mP,Published,,
2513143,data_cmp2w17_k_mP,Published,,
2504511,data_smsiw11-cs,Submitted,,
2504510,data_smgew11-cs,Submitted,,
2504509,SURPRISE!,Submitted,,
2503931,SURPRISE!,Submitted,,
2503930,SURPRISE!,Submitted,,
2503929,SURPRISE!,Submitted,,
2503928,SURPRISE!,Submitted,,
2503927,SURPRISE!,Submitted,,
2503926,SURPRISE!,Submitted,,
2497581,SURPRISE!,Submitted,,
2497580,SURPRISE!,Submitted,,
2497579,SURPRISE!,Submitted,,
2496746,SURPRISE!,Submitted,,
2496745,SURPRISE!,Submitted,,
2496444,data_dy-ciol,Submitted,,
2496443,SURPRISE!,Submitted,,
2496442,SURPRISE!,Submitted,,
2496441,SURPRISE!,Submitted,,
2496440,SURPRISE!,Submitted,,
2496439,SURPRISE!,Submitted,,
2496438,SURPRISE!,Submitted,,
2496437,SURPRISE!,Submitted,,
2496436,SURPRISE!,Submitted,,
2496435,SURPRISE!,Submitted,,
2496434,SURPRISE!,Submitted,,
2496433,SURPRISE!,Submitted,,
2496432,SURPRISE!,Submitted,,
2496431,SURPRISE!,Submitted,,
2496430,SURPRISE!,Submitted,,
2496429,SURPRISE!,Submitted,,
2496428,SURPRISE!,Submitted,,
2496427,SURPRISE!,Submitted,,
2496426,SURPRISE!,Submitted,,
2489773,data_eugew11-ba,Submitted,,
2489772,data_bisiw11-cs,Submitted,,
